Qualitative_Segment,Quantitative_Segment,Percentile,Increase_Avg
Corporate,High Value High Volume,0.5,1.2609284684807058
Corporate,High Value High Volume,0.75,1.5125200472678257
Corporate,High Value High Volume,0.95,2.4278431874506468
Corporate,High Value Low Volume,0.5,1.4513295686354826
Corporate,High Value Low Volume,0.75,1.8364611833058875
Corporate,High Value Low Volume,0.95,4.38821973444914
Corporate,Low Value High Volume,0.5,1.2998586311356861
Corporate,Low Value High Volume,0.75,1.4675951045826416
Corporate,Low Value High Volume,0.95,1.529460443542804
Corporate,Low Value Low Volume,0.5,1.6102294312858998
Corporate,Low Value Low Volume,0.75,2.4239665157231083
Corporate,Low Value Low Volume,0.95,4.8232423001692
Individual,High Value High Volume,0.5,2.3781055212027016
Individual,High Value High Volume,0.75,4.857500159958834
Individual,High Value High Volume,0.95,12.130118637581324
Individual,High Value Low Volume,0.5,7.199038076152305
Individual,High Value Low Volume,0.75,9.588469344829344
Individual,High Value Low Volume,0.95,26.576212179108982
Individual,Low Value High Volume,0.5,2.9391024108628008
Individual,Low Value High Volume,0.75,5.172914423386208
Individual,Low Value High Volume,0.95,20.356302282716573
Individual,Low Value Low Volume,0.5,2.66334979414426
Individual,Low Value Low Volume,0.75,8.931213291708556
Individual,Low Value Low Volume,0.95,46.75255623721881
